fid,Ponto,X,Y,Z,2019-11-_1,2019-11-_2,2019-11-_3
"1",PARP1,595423.164,7221144.271,952.6342,180.390640258789,177.535186767578,105.064186096191
"2",PARP2,595424.688,7221147.995,952.7406,183.373931884766,187.711669921875,110.336044311523
"3",PARP3,595426.053,7221151.609,952.8061,161.75048828125,160.954681396484,89.354248046875
"4",PARP4,595427.783,7221155.602,952.1135,176.174346923828,167.784912109375,115.43098449707
"5",PARP5,595428.857,7221159.283,951.3771,164.218566894531,167.055770874023,103.025169372559
"6",PARP6,595462.692,7221125.505,952.6211,184.340454101563,167.090957641602,91.472770690918
"7",PARP7,595464.434,7221129.83,953.0222,213.058486938477,209.663314819336,121.477394104004
"8",PARP8,595466.783,7221134.933,952.2832,164.363082885742,162.672576904297,89.0946884155273
"9",PARP9,595468.973,7221139.292,951.8156,171.400192260742,176.12287902832,104.778579711914
"10",PARP10,595471.158,7221142.565,952.4577,132.470153808594,139.881973266602,75.147590637207
"11",PARP11,595504.975,7221187.601,948.5631,25.3367195129395,60.0806350708008,57.1409759521484
"12",PARP12,595506.538,7221192.361,949.7588,182.029632568359,180.468399047852,128.020370483398
"13",PARP13,595507.039,7221195.53,947.4691,181.789535522461,169.563217163086,122.571273803711
"14",PARP14,595507.417,7221199.105,947.9511,198.667083740234,193.599517822266,146.804885864258
"15",PARP15,595507.667,7221203.262,947.2234,136.201370239258,127.429580688477,108.017562866211
"16",PARP16,595457.073,7221210.4,949.1746,199.338272094727,199.66552734375,147.982604980469
"17",PARP17,595457.228,7221214.023,948.9755,184.95246887207,191.013290405273,144.393890380859
"18",PARP18,595458.237,7221217.409,946.883,183.056655883789,186.189178466797,144.971252441406
"19",PARP19,595458.543,7221221.834,946.9921,161.404754638672,154.133010864258,116.010696411133
"20",PARP20,595458.816,7221226.052,947.2298,157.571594238281,158.006378173828,118.721611022949
"21",PARP21,595303.663,7221243.749,945.395,171.210067749023,184.555252075195,152.863540649414
"22",PARP22,595304.614,7221247.145,946.0226,100.388656616211,117.88387298584,90.1893539428711
"23",PARP23,595305.032,7221250.919,944.9048,113.831024169922,145.326705932617,96.7502593994141
"24",PARP24,595305.53,7221254.37,946.4189,141.400054931641,166.860336303711,112.95491027832
"25",PARP25,595306.239,7221258.801,944.6257,142.895858764648,156.137145996094,118.484985351563
"26",PARP26,595412.302,7221317.396,938.7978,195.419174194336,197.674652099609,136.247482299805
"27",PARP27,595413.301,7221321.33,938.1639,161.948257446289,154.252517700195,98.8120040893555
"28",PARP28,595414.558,7221326.378,939.3718,194.815383911133,193.168823242188,137.191696166992
"29",PARP29,595413.464,7221329.416,937.3186,167.795501708984,168.940216064453,125.283645629883
"30",PARP30,595414.16,7221332.724,936.2815,158.55500793457,157.10514831543,118.373626708984
