fid,Ponto,X,Y,Z,2019-11-_1,2019-11-_2,2019-11-_3
"1",PARP1,595423.164,7221144.271,952.6342,151.450332641602,145.506469726563,89.9494705200195
"2",PARP2,595424.688,7221147.995,952.7406,188.981414794922,186.0869140625,101.881530761719
"3",PARP3,595426.053,7221151.609,952.8061,166.336975097656,168.390747070313,105.459861755371
"4",PARP4,595427.783,7221155.602,952.1135,190.112548828125,184.99967956543,125.706199645996
"5",PARP5,595428.857,7221159.283,951.3771,167.795135498047,172.639266967773,104.66227722168
"6",PARP6,595462.692,7221125.505,952.6211,177.012451171875,166.219635009766,81.1885528564453
"7",PARP7,595464.434,7221129.83,953.0222,225.032409667969,217.489700317383,132.987823486328
"8",PARP8,595466.783,7221134.933,952.2832,232.322967529297,235.256759643555,171.050567626953
"9",PARP9,595468.973,7221139.292,951.8156,142.932907104492,150.51725769043,83.1126556396484
"10",PARP10,595471.158,7221142.565,952.4577,180.461395263672,185.376907348633,120.475234985352
"11",PARP11,595504.975,7221187.601,948.5631,91.0618438720703,108.229705810547,83.9000625610352
"12",PARP12,595506.538,7221192.361,949.7588,179.573623657227,183.766723632813,141.380462646484
"13",PARP13,595507.039,7221195.53,947.4691,79.5846710205078,97.7011642456055,102.095390319824
"14",PARP14,595507.417,7221199.105,947.9511,79.6852798461914,103.143913269043,83.5997543334961
"15",PARP15,595507.667,7221203.262,947.2234,105.87614440918,113.622970581055,99.8132553100586
"16",PARP16,595457.073,7221210.4,949.1746,51.8426399230957,78.787353515625,68.5740127563477
"17",PARP17,595457.228,7221214.023,948.9755,88.0806198120117,96.4678573608398,76.6794357299805
"18",PARP18,595458.237,7221217.409,946.883,185.992492675781,180.421829223633,139.792404174805
"19",PARP19,595458.543,7221221.834,946.9921,183.649490356445,177.012649536133,116.460182189941
"20",PARP20,595458.816,7221226.052,947.2298,170.318267822266,168.943313598633,134.615295410156
"21",PARP21,595303.663,7221243.749,945.395,69.329460144043,78.4735488891602,57.9586486816406
"22",PARP22,595304.614,7221247.145,946.0226,102.598320007324,114.22632598877,76.9025650024414
"23",PARP23,595305.032,7221250.919,944.9048,140.373962402344,166.538284301758,109.208137512207
"24",PARP24,595305.53,7221254.37,946.4189,144.493698120117,165.658218383789,102.398223876953
"25",PARP25,595306.239,7221258.801,944.6257,156.991165161133,165.012619018555,111.687057495117
"26",PARP26,595412.302,7221317.396,938.7978,27.2473411560059,68.7194671630859,76.2999114990234
"27",PARP27,595413.301,7221321.33,938.1639,171.158660888672,174.035339355469,149.538833618164
"28",PARP28,595414.558,7221326.378,939.3718,120.609725952148,122.884880065918,83.4224700927734
"29",PARP29,595413.464,7221329.416,937.3186,162.595199584961,156.896697998047,127.109191894531
"30",PARP30,595414.16,7221332.724,936.2815,198.976226806641,198.449417114258,151.539978027344
