fid,Ponto,X,Y,Z,2019-11-_1,2019-11-_2,2019-11-_3
"1",PARP1,595423.164,7221144.271,952.6342,16201.380859375,15617.6845703125,10391.8857421875
"2",PARP2,595424.688,7221147.995,952.7406,16087.283203125,15487.1005859375,10072.255859375
"3",PARP3,595426.053,7221151.609,952.8061,16553.04296875,16212.236328125,11741.443359375
"4",PARP4,595427.783,7221155.602,952.1135,16974.14453125,16446.552734375,12642.7431640625
"5",PARP5,595428.857,7221159.283,951.3771,14707.9404296875,14688.9072265625,9865.2001953125
"6",PARP6,595462.692,7221125.505,952.6211,15896.07421875,14504.4267578125,8739.6533203125
"7",PARP7,595464.434,7221129.83,953.0222,16596.052734375,15720.2822265625,9866.3037109375
"8",PARP8,595466.783,7221134.933,952.2832,16909.634765625,16692.029296875,12025.197265625
"9",PARP9,595468.973,7221139.292,951.8156,15773.5048828125,15716.6015625,10889.224609375
"10",PARP10,595471.158,7221142.565,952.4577,14621.2138671875,14896.1416015625,9410.87109375
"11",PARP11,595504.975,7221187.601,948.5631,14850.6044921875,14426.609375,9829.083984375
"12",PARP12,595506.538,7221192.361,949.7588,14509.544921875,14086.1845703125,10897.5341796875
"13",PARP13,595507.039,7221195.53,947.4691,16393.197265625,15087.072265625,12548.607421875
"14",PARP14,595507.417,7221199.105,947.9511,9279.033203125,8881.9462890625,6276.32177734375
"15",PARP15,595507.667,7221203.262,947.2234,7059.49609375,6887.1875,5470.93115234375
"16",PARP16,595457.073,7221210.4,949.1746,14414.0400390625,14022.541015625,9654.5927734375
"17",PARP17,595457.228,7221214.023,948.9755,14993.154296875,15312.251953125,11083.0205078125
"18",PARP18,595458.237,7221217.409,946.883,14203.369140625,13727.765625,10464.998046875
"19",PARP19,595458.543,7221221.834,946.9921,13797.4267578125,13179.8330078125,9132.5478515625
"20",PARP20,595458.816,7221226.052,947.2298,9063.6044921875,9066.109375,6988.01025390625
"21",PARP21,595303.663,7221243.749,945.395,13833.580078125,13763.6533203125,10454.123046875
"22",PARP22,595304.614,7221247.145,946.0226,14901.140625,14775.0673828125,12150.3955078125
"23",PARP23,595305.032,7221250.919,944.9048,11284.7607421875,12961.244140625,7251.8828125
"24",PARP24,595305.53,7221254.37,946.4189,6411.03466796875,8002.1884765625,4657.68359375
"25",PARP25,595306.239,7221258.801,944.6257,7235.53271484375,7279.85693359375,4836.26904296875
"26",PARP26,595412.302,7221317.396,938.7978,12805.51171875,12436.7294921875,8637.92578125
"27",PARP27,595413.301,7221321.33,938.1639,13318.0625,12571.5830078125,8374.2314453125
"28",PARP28,595414.558,7221326.378,939.3718,12302.3828125,11621.6279296875,7550.4775390625
"29",PARP29,595413.464,7221329.416,937.3186,14878.9580078125,14248.359375,11292.7275390625
"30",PARP30,595414.16,7221332.724,936.2815,4322.7998046875,4969.923828125,3504.12353515625
