poly_id;2019-11-_1;2019-11-_2;2019-11-_3;PARVoo1;PARVoo2;PARVoo3;PARVoo4;;;
0;16377.5830078125;15998.6904296875;11795.970703125;1630;1121;1442;735;;;
0;16725.912109375;16499.609375;12382.689453125;1630;1121;1442;735;;;
0;16334.3154296875;15750.1171875;11505.7314453125;1630;1121;1442;735;;;
0;16551.62890625;16051.1376953125;12037.3115234375;1630;1121;1442;735;;;
0;17088.919921875;16690.82421875;12796.3466796875;1630;1121;1442;735;;;
0;17237.267578125;17140.43359375;13122.8173828125;1630;1121;1442;735;;;
0;16685.140625;16867.283203125;12551.0810546875;1630;1121;1442;735;;;
0;18266.322265625;17372.986328125;13413.0947265625;1630;1121;1442;735;;;
0;18027.71484375;17182.423828125;13355.3974609375;1630;1121;1442;735;;;
0;17551.26171875;16837.46875;13134.560546875;1630;1121;1442;735;;;
0;17672.740234375;17125.20703125;13462.8046875;1630;1121;1442;735;;;
0;18029.62109375;17590.83203125;13947.6591796875;1630;1121;1442;735;;;
0;17880.337890625;17835.56640625;13939.5830078125;1630;1121;1442;735;;;
0;17074.35546875;17177.9140625;13051.861328125;1630;1121;1442;735;;;
0;17603.095703125;16535.298828125;13041.474609375;1630;1121;1442;735;;;
0;18214.1875;17201.134765625;13641.87109375;1630;1121;1442;735;;;
0;18457.59375;17503.03515625;14096.01953125;1630;1121;1442;735;;;
0;18150.64453125;17208.91015625;13775.9521484375;1630;1121;1442;735;;;
0;17893.181640625;17152.53125;13743.3759765625;1630;1121;1442;735;;;
0;17882.279296875;17347.544921875;13855.2158203125;1630;1121;1442;735;;;
0;17610.953125;17267.947265625;13699.630859375;1630;1121;1442;735;;;
0;17552.677734375;17475.2890625;13663.1171875;1630;1121;1442;735;;;
0;16968.619140625;17023.84765625;12847.03125;1630;1121;1442;735;;;
0;16008.2294921875;16053.771484375;11458.986328125;1630;1121;1442;735;;;
0;18653.498046875;17423.76953125;14739.193359375;1630;1121;1442;735;;;
0;17547.083984375;16437.341796875;13330.5439453125;1630;1121;1442;735;;;
0;17724.6171875;16634.865234375;13411.9375;1630;1121;1442;735;;;
0;18642.646484375;17491.689453125;14473.626953125;1630;1121;1442;735;;;
0;18172.5625;17107.1796875;14103.380859375;1630;1121;1442;735;;;
0;17462.3203125;16502.818359375;13284.6572265625;1630;1121;1442;735;;;
0;17010.271484375;16236.828125;12850.630859375;1630;1121;1442;735;;;
0;16682.62890625;16137.3271484375;12629.5107421875;1630;1121;1442;735;;;
0;16332.212890625;15994.8935546875;12418.50390625;1630;1121;1442;735;;;
0;16615.654296875;16461.5;12620.392578125;1630;1121;1442;735;;;
0;16192.970703125;16083.6396484375;11870.734375;1630;1121;1442;735;;;
0;15521.37890625;15525.083984375;10828.177734375;1630;1121;1442;735;;;
0;17470.466796875;16379.392578125;13884.591796875;1630;1121;1442;735;;;
0;18599.01953125;17439.98828125;14989.4716796875;1630;1121;1442;735;;;
0;18161.734375;17025.990234375;14257.6474609375;1630;1121;1442;735;;;
0;17464.650390625;16291.8896484375;13402.9140625;1630;1121;1442;735;;;
0;17722.400390625;16564.619140625;13758.4296875;1630;1121;1442;735;;;
0;18694.052734375;17541.7734375;14814.568359375;1630;1121;1442;735;;;
0;18555.513671875;17517.45703125;14634.1435546875;1630;1121;1442;735;;;
0;17677.912109375;16785.853515625;13524.388671875;1630;1121;1442;735;;;
0;16766.888671875;16083.4423828125;12607.85546875;1630;1121;1442;735;;;
0;16274.626953125;15720.4443359375;12060.7392578125;1630;1121;1442;735;;;
0;15980.4482421875;15571.9619140625;11724.0400390625;1630;1121;1442;735;;;
0;15861.0078125;15629.8681640625;11540.30859375;1630;1121;1442;735;;;
0;15410.421875;15280.7041015625;10899.7626953125;1630;1121;1442;735;;;
0;15141.640625;15044.8447265625;10372.4755859375;1630;1121;1442;735;;;
0;15533.0966796875;15452.9853515625;10555.26953125;1630;1121;1442;735;;;
0;15617.1025390625;14944.6318359375;11207.076171875;1630;1121;1442;735;;;
0;16232.791015625;15401.4609375;12407.3076171875;1630;1121;1442;735;;;
0;17536.171875;16498.095703125;13962.5703125;1630;1121;1442;735;;;
0;18042.47265625;16891.970703125;14348.951171875;1630;1121;1442;735;;;
0;17833.177734375;16716.36328125;13953.4384765625;1630;1121;1442;735;;;
0;17442.716796875;16268.6220703125;13570.125;1630;1121;1442;735;;;
0;17219.955078125;16046.9619140625;13524.181640625;1630;1121;1442;735;;;
0;17816.70703125;16697.77734375;14089.5234375;1630;1121;1442;735;;;
0;18554.150390625;17594.4296875;14609.2138671875;1630;1121;1442;735;;;
0;17913.8984375;17020.3203125;13689.4580078125;1630;1121;1442;735;;;
0;17264.349609375;16461.359375;12908.1455078125;1630;1121;1442;735;;;
0;16470.49609375;15919.6845703125;12062.013671875;1630;1121;1442;735;;;
0;16182.515625;15774.830078125;11600.6103515625;1630;1121;1442;735;;;
0;16155.048828125;15806.873046875;11363.61328125;1630;1121;1442;735;;;
0;15715.052734375;15489.7021484375;10850.01171875;1630;1121;1442;735;;;
0;15547.908203125;15470.560546875;10520.0751953125;1630;1121;1442;735;;;
0;15836.6845703125;15755.4384765625;10813.5;1630;1121;1442;735;;;
0;15253.7255859375;14991.529296875;10542.9248046875;1630;1121;1442;735;;;
0;15055.1953125;14711.3955078125;10559.1083984375;1630;1121;1442;735;;;
0;15666.1748046875;15198.0234375;11521.9560546875;1630;1121;1442;735;;;
0;16413.080078125;15768.169921875;12517.4169921875;1630;1121;1442;735;;;
0;17052.828125;16276.4541015625;13081.64453125;1630;1121;1442;735;;;
